6,123123,224223,comb.=P06/#I05+I11
6,123213,224232,comb.=I09
6,131115,422232,comb.#I03
6,131124,322431,comb.#I03
6,131214,313431,Gypsy mode
6,131313,303630,3rd ord all-comb.
6,132114,322332,
6,132123,224232,comb.=I01
6,132213,223431,comb.#I11
6,211116,443211,Comb.#I01
6,211125,343230,1st ordall-comb.I07
6,211134,333321,
6,211215,333321,
6,211224,242412,comb.#I01
6,211233,234222,comb.=I06
6,211314,322431,Megha or Cloud raga mode/comb.#I01
6,211323,233241,
6,212115,333231,
6,212124,234222,Super-Locrian hexamode/comb.=I08
6,212133,225222,comb.#I01
6,212214,233241,Minor hexamode
6,212223,143241,Dorian hexamode/comb.#I01
6,213114,322332,
6,213213,224223,comb.=P06/#I01+I07 / tritone scale / petrushka chord
6,221115,342231,comb.#I03
6,221124,242412,comb.#I03
6,221133,233331,
6,221214,233331,
6,221223,143250,1st ord.all-comb.I09/major/quartal hexamode
6,222114,241422,comb.#I05
6,222123,143241,Dominant-eleventh chord/Lydian hexamode/comb.#I05
6,222213,142422,Harmonic-overtone hexachord/aug-11th/comb.#I07
6,222222,60603,Wholetone mode/6th ord all comb.
6,231114,332232,
6,311115,433221,
6,311124,333321,
6,311214,323430,comb.#P06
6,312114,323421,comb.#I05
6,321114,333231,
